2023-3-21 11:48:10, Temperature = 21.24 C, Pressure = 841.68 hPa, Approx. Altitude = 1537.72 m, Humidity = 21.25 %
2023-3-21 13:30:21, Temperature = 21.98 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.40 m, Humidity = 19.06 %
2023-3-21 13:30:51, Temperature = 21.99 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.18 m, Humidity = 19.07 %
2023-3-21 13:31:21, Temperature = 22.00 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.83 m, Humidity = 19.02 %
2023-3-21 13:31:51, Temperature = 22.00 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.89 m, Humidity = 19.07 %
2023-3-21 13:32:21, Temperature = 22.01 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.85 m, Humidity = 19.02 %
2023-3-21 13:32:51, Temperature = 22.01 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.21 m, Humidity = 18.98 %
2023-3-21 13:33:21, Temperature = 22.00 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.09 m, Humidity = 19.01 %
2023-3-21 13:33:51, Temperature = 22.01 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.90 m, Humidity = 18.96 %
2023-3-21 13:34:21, Temperature = 22.02 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.86 m, Humidity = 19.00 %
2023-3-21 13:34:52, Temperature = 22.01 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.42 m, Humidity = 18.99 %
2023-3-21 13:35:22, Temperature = 22.01 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.60 m, Humidity = 18.98 %
2023-3-21 13:35:52, Temperature = 22.00 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.52 m, Humidity = 19.00 %
2023-3-21 13:36:22, Temperature = 22.02 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.51 m, Humidity = 18.93 %
2023-3-21 13:36:52, Temperature = 22.03 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.65 m, Humidity = 18.94 %
2023-3-21 13:37:22, Temperature = 22.03 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.88 m, Humidity = 18.94 %
2023-3-21 13:37:52, Temperature = 22.03 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.20 m, Humidity = 18.98 %
2023-3-21 13:38:22, Temperature = 22.04 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.50 m, Humidity = 18.94 %
2023-3-21 13:38:52, Temperature = 22.05 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.12 m, Humidity = 18.91 %
2023-3-21 13:39:23, Temperature = 22.04 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.33 m, Humidity = 18.88 %
2023-3-21 13:39:53, Temperature = 22.04 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.18 m, Humidity = 18.93 %
2023-3-21 13:40:23, Temperature = 22.06 C, Pressure = 842.27 hPa, Approx. Altitude = 1532.02 m, Humidity = 18.90 %
2023-3-21 13:40:53, Temperature = 22.06 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.25 m, Humidity = 18.94 %
2023-3-21 13:41:23, Temperature = 22.05 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.13 m, Humidity = 18.88 %
2023-3-21 13:41:53, Temperature = 22.04 C, Pressure = 842.27 hPa, Approx. Altitude = 1532.05 m, Humidity = 18.93 %
2023-3-21 13:42:23, Temperature = 22.04 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.13 m, Humidity = 18.95 %
2023-3-21 13:42:53, Temperature = 22.04 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.23 m, Humidity = 19.01 %
2023-3-21 13:43:23, Temperature = 22.03 C, Pressure = 842.27 hPa, Approx. Altitude = 1532.05 m, Humidity = 19.01 %
2023-3-21 13:43:54, Temperature = 22.04 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.08 m, Humidity = 19.07 %
2023-3-21 13:44:24, Temperature = 22.05 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.11 m, Humidity = 19.10 %
2023-3-21 13:44:54, Temperature = 22.03 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.49 m, Humidity = 19.18 %
2023-3-21 13:45:24, Temperature = 22.01 C, Pressure = 842.28 hPa, Approx. Altitude = 1531.91 m, Humidity = 19.20 %
2023-3-21 13:45:54, Temperature = 22.02 C, Pressure = 842.27 hPa, Approx. Altitude = 1531.98 m, Humidity = 19.26 %
2023-3-21 13:46:24, Temperature = 22.02 C, Pressure = 842.28 hPa, Approx. Altitude = 1531.89 m, Humidity = 19.21 %
2023-3-21 13:46:54, Temperature = 22.03 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.34 m, Humidity = 19.31 %
2023-3-21 13:47:24, Temperature = 22.03 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.47 m, Humidity = 19.31 %
2023-3-21 13:47:54, Temperature = 22.05 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.18 m, Humidity = 19.33 %
2023-3-21 13:48:24, Temperature = 22.06 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.14 m, Humidity = 19.34 %
2023-3-21 13:48:55, Temperature = 22.05 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.10 m, Humidity = 19.29 %
2023-3-21 13:49:25, Temperature = 22.05 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.46 m, Humidity = 19.31 %
2023-3-21 13:49:55, Temperature = 22.06 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.17 m, Humidity = 19.35 %
2023-3-21 13:50:25, Temperature = 22.05 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.45 m, Humidity = 19.31 %
2023-3-21 13:50:55, Temperature = 22.05 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.79 m, Humidity = 19.42 %
2023-3-21 13:51:25, Temperature = 22.06 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.44 m, Humidity = 19.39 %
2023-3-21 13:51:55, Temperature = 22.06 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.70 m, Humidity = 19.46 %
2023-3-21 13:52:25, Temperature = 22.06 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.93 m, Humidity = 19.41 %
2023-3-21 13:52:55, Temperature = 22.06 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.38 m, Humidity = 19.34 %
2023-3-21 13:53:26, Temperature = 22.07 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.61 m, Humidity = 19.31 %
2023-3-21 13:53:56, Temperature = 22.09 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.61 m, Humidity = 19.29 %
2023-3-21 13:54:26, Temperature = 22.09 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.48 m, Humidity = 19.21 %
2023-3-21 13:54:56, Temperature = 22.08 C, Pressure = 842.17 hPa, Approx. Altitude = 1532.99 m, Humidity = 19.18 %
2023-3-21 13:55:26, Temperature = 22.08 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.81 m, Humidity = 19.14 %
2023-3-21 13:55:56, Temperature = 22.07 C, Pressure = 842.17 hPa, Approx. Altitude = 1532.98 m, Humidity = 19.13 %
2023-3-21 13:56:26, Temperature = 22.07 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.84 m, Humidity = 19.10 %
2023-3-21 13:56:56, Temperature = 22.08 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.71 m, Humidity = 19.07 %
2023-3-21 13:57:26, Temperature = 22.09 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.90 m, Humidity = 19.07 %
2023-3-21 13:57:57, Temperature = 22.10 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.07 m, Humidity = 19.04 %
2023-3-21 13:58:27, Temperature = 22.12 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.16 m, Humidity = 19.00 %
2023-3-21 13:58:57, Temperature = 22.11 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.25 m, Humidity = 19.20 %
2023-3-21 13:59:27, Temperature = 22.11 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.63 m, Humidity = 19.49 %
2023-3-21 13:59:57, Temperature = 22.09 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.07 m, Humidity = 19.38 %
2023-3-21 14:0:27, Temperature = 22.10 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.92 m, Humidity = 19.60 %
2023-3-21 14:0:57, Temperature = 22.10 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.90 m, Humidity = 19.50 %
2023-3-21 14:1:27, Temperature = 22.10 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.65 m, Humidity = 19.51 %
2023-3-21 14:1:57, Temperature = 22.10 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.62 m, Humidity = 19.53 %
2023-3-21 14:2:27, Temperature = 22.11 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.55 m, Humidity = 19.70 %
2023-3-21 14:2:58, Temperature = 22.12 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.51 m, Humidity = 19.74 %
2023-3-21 14:3:28, Temperature = 22.13 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.50 m, Humidity = 19.76 %
2023-3-21 14:3:58, Temperature = 22.13 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.38 m, Humidity = 19.81 %
2023-3-21 14:4:28, Temperature = 22.14 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.48 m, Humidity = 19.78 %
2023-3-21 14:4:58, Temperature = 22.14 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.38 m, Humidity = 19.92 %
2023-3-21 14:5:28, Temperature = 22.14 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.68 m, Humidity = 19.88 %
2023-3-21 14:5:58, Temperature = 22.13 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.83 m, Humidity = 19.98 %
2023-3-21 14:6:28, Temperature = 22.14 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.55 m, Humidity = 19.92 %
2023-3-21 14:6:58, Temperature = 22.14 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.31 m, Humidity = 19.86 %
2023-3-21 14:7:29, Temperature = 22.14 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.50 m, Humidity = 19.88 %
2023-3-21 14:7:59, Temperature = 22.13 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.65 m, Humidity = 19.99 %
2023-3-21 14:8:29, Temperature = 22.14 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.73 m, Humidity = 19.92 %
2023-3-21 14:8:59, Temperature = 22.15 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.80 m, Humidity = 19.99 %
2023-3-21 14:9:29, Temperature = 22.17 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.41 m, Humidity = 20.07 %
2023-3-21 14:9:59, Temperature = 22.18 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.73 m, Humidity = 20.03 %
2023-3-21 14:10:29, Temperature = 22.18 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.55 m, Humidity = 20.04 %
2023-3-21 14:10:59, Temperature = 22.16 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.73 m, Humidity = 20.05 %
2023-3-21 14:11:29, Temperature = 22.16 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.37 m, Humidity = 20.06 %
2023-3-21 14:11:59, Temperature = 22.15 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.52 m, Humidity = 20.05 %
2023-3-21 14:12:30, Temperature = 22.16 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.51 m, Humidity = 20.06 %
2023-3-21 14:13:0, Temperature = 22.16 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.28 m, Humidity = 20.04 %
2023-3-21 14:13:30, Temperature = 22.16 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.25 m, Humidity = 20.06 %
2023-3-21 14:14:0, Temperature = 22.15 C, Pressure = 842.27 hPa, Approx. Altitude = 1532.02 m, Humidity = 19.99 %
2023-3-21 14:14:30, Temperature = 22.14 C, Pressure = 842.27 hPa, Approx. Altitude = 1532.00 m, Humidity = 19.86 %
2023-3-21 14:15:0, Temperature = 22.13 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.10 m, Humidity = 19.78 %
2023-3-21 14:15:30, Temperature = 22.12 C, Pressure = 842.27 hPa, Approx. Altitude = 1531.98 m, Humidity = 19.93 %
2023-3-21 14:16:0, Temperature = 22.10 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.21 m, Humidity = 19.86 %
2023-3-21 14:16:30, Temperature = 22.09 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.31 m, Humidity = 19.96 %
2023-3-21 14:17:1, Temperature = 22.07 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.49 m, Humidity = 19.64 %
2023-3-21 14:17:31, Temperature = 22.05 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.32 m, Humidity = 19.67 %
2023-3-21 14:18:1, Temperature = 22.03 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.36 m, Humidity = 19.59 %
2023-3-21 14:18:31, Temperature = 22.01 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.35 m, Humidity = 19.63 %
2023-3-21 14:19:1, Temperature = 21.99 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.52 m, Humidity = 19.68 %
2023-3-21 14:19:31, Temperature = 21.97 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.22 m, Humidity = 19.67 %
2023-3-21 14:20:1, Temperature = 21.94 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.30 m, Humidity = 19.64 %
2023-3-21 14:20:31, Temperature = 21.95 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.13 m, Humidity = 19.64 %
2023-3-21 14:21:1, Temperature = 21.94 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.28 m, Humidity = 19.71 %
2023-3-21 14:21:32, Temperature = 21.95 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.66 m, Humidity = 19.65 %
2023-3-21 14:22:2, Temperature = 21.97 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.28 m, Humidity = 19.68 %
2023-3-21 14:22:32, Temperature = 21.98 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.25 m, Humidity = 19.62 %
2023-3-21 14:23:2, Temperature = 21.98 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.51 m, Humidity = 19.64 %
2023-3-21 14:23:32, Temperature = 21.99 C, Pressure = 842.26 hPa, Approx. Altitude = 1532.16 m, Humidity = 19.66 %
2023-3-21 14:24:2, Temperature = 21.98 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.25 m, Humidity = 19.61 %
2023-3-21 14:24:32, Temperature = 21.97 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.36 m, Humidity = 19.58 %
2023-3-21 14:25:2, Temperature = 21.97 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.73 m, Humidity = 19.57 %
2023-3-21 14:25:32, Temperature = 21.97 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.51 m, Humidity = 19.58 %
2023-3-21 14:26:2, Temperature = 21.95 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.63 m, Humidity = 19.65 %
2023-3-21 14:26:33, Temperature = 21.95 C, Pressure = 842.23 hPa, Approx. Altitude = 1532.39 m, Humidity = 20.02 %
2023-3-21 14:27:3, Temperature = 21.97 C, Pressure = 842.24 hPa, Approx. Altitude = 1532.33 m, Humidity = 19.65 %
2023-3-21 14:27:33, Temperature = 21.95 C, Pressure = 842.25 hPa, Approx. Altitude = 1532.26 m, Humidity = 19.70 %
2023-3-21 14:28:3, Temperature = 21.96 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.74 m, Humidity = 19.69 %
2023-3-21 14:28:33, Temperature = 21.94 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.80 m, Humidity = 19.59 %
2023-3-21 14:29:3, Temperature = 21.96 C, Pressure = 842.21 hPa, Approx. Altitude = 1532.59 m, Humidity = 19.70 %
2023-3-21 14:29:33, Temperature = 21.96 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.54 m, Humidity = 19.67 %
2023-3-21 14:30:3, Temperature = 21.94 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.83 m, Humidity = 19.65 %
2023-3-21 14:30:33, Temperature = 21.97 C, Pressure = 842.17 hPa, Approx. Altitude = 1533.03 m, Humidity = 19.67 %
2023-3-21 14:31:4, Temperature = 21.96 C, Pressure = 842.22 hPa, Approx. Altitude = 1532.49 m, Humidity = 19.62 %
2023-3-21 14:31:34, Temperature = 21.94 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.12 m, Humidity = 19.64 %
